horizon,n_forecasts,sarima_MAE,naive_MAE,MAE_improvement_pct,sarima_RMSE,naive_RMSE,RMSE_improvement_pct,sarima_win_rate_pct
1,369,750.2411880623675,1630.9241192411923,53.99901324585067,1317.5758418969021,2777.717591163681,52.56624193588648,75.33875338753387
2,369,955.2935462328653,1464.4769647696478,34.76896057677995,1704.6177703248031,2672.4734024346935,36.215725523335365,63.68563685636857
3,369,996.7750273080396,1402.4715447154472,28.92725481212675,1682.7520126888821,2494.0710345143043,32.52990835457173,61.517615176151764
